Key,English,French
KEY_HAVEN_MOTO_ANU63,All Will Be Transformed,Tout sera transformé
KEY_HAVEN_MOTO_ANU64,Give Of Yourself So Others May Live,Donner une part de soi pour que les autres puissent vivre
KEY_HAVEN_MOTO_ANU65,We Are Born Again,Nous sommes nés de nouveau
KEY_HAVEN_MOTO_ANU66,Delivered From Greed Into A World Of Faith And Justice,Délivrés de la cupidité dans un monde de foi et de justice
KEY_HAVEN_MOTO_ANU67,Drown The Past,Noyez le passé
KEY_HAVEN_MOTO_ANU68,"Perfect Heart, Imperfect Form","Cœur parfait, forme imparfaite"
KEY_HAVEN_MOTO_ANU69,Breathe Like The Dragonfly,Respirez comme la libellule
KEY_HAVEN_MOTO_ANU7,Do Not Fear the Strange Face of Hope,Ne craignez pas l'étrange visage de l'espoir
KEY_HAVEN_MOTO_ANU70,The Future Rises,L'avenir se lève
KEY_HAVEN_MOTO_ANU71,Birthplace of Exarchs,Berceau des exarques
KEY_HAVEN_MOTO_ANU72,Anoint The Flesh,Consacrer la chair
KEY_HAVEN_MOTO_ANU73,"In Dreams, Truth; In Waking, Change","Dans les rêves, la vérité ; dans l'éveil, le changement"
KEY_HAVEN_MOTO_ANU74,A World Without Sin Is Possible,Un monde sans péchés est possible
KEY_HAVEN_MOTO_ANU75,There Are Secret Paths,Il existe des voies secrètes
KEY_HAVEN_MOTO_ANU76,The Moth and the Moon,Le papillon de nuit et la lune
KEY_HAVEN_MOTO_ANU77,The Tides Will Obey,Les marées obéiront
KEY_HAVEN_MOTO_ANU78,The Human Soul Must Not Be Caged,L'âme humaine ne doit pas être mise en cage
KEY_HAVEN_MOTO_ANU79,Ride The Flood,Voguer sur le Déluge
KEY_HAVEN_MOTO_ANU8,The Shadows Flutter When Children Dance,Les ombres s'agitent lorsque les enfants dansent
KEY_HAVEN_MOTO_ANU80,The Sky Is A Sea,La mer est le ciel
KEY_HAVEN_MOTO_ANU81,Eternal Change Is Eternal Peace,Le changement éternel est la paix éternelle
KEY_HAVEN_MOTO_ANU82,The Waters of Life Bring Wisdom,Les Eaux de vie apportent la sagesse
KEY_HAVEN_MOTO_ANU83,The Exalted Sees,L'Exaltée voit
KEY_HAVEN_MOTO_ANU84,True to the Gospel,Fidèle à l'Évangile
KEY_HAVEN_MOTO_ANU85,The Waters Sustain Us,Les eaux nous nourrissent
KEY_HAVEN_MOTO_ANU86,For The Next Thousand Generations,Pour les mille prochaines générations
KEY_HAVEN_MOTO_ANU87,"In Dark Days, Strange Paths Lead To Salvation","Dans les jours sombres, les voies étranges mènent au salut"
KEY_HAVEN_MOTO_ANU88,We Shelter All Seekers,Nous abritons tous les intéressés
KEY_HAVEN_MOTO_ANU89,To Justify The Lives Of Our Ancestors,Justifier les vies de nos ancêtres
KEY_HAVEN_MOTO_ANU9,"From the Sea, Unto the Stars",De la mer jusqu'aux étoiles
KEY_HAVEN_MOTO_ANU90,"Do Not Fear Change, Fear Only Despair","Ne craignez pas le changement, seulement le désespoir"
KEY_HAVEN_MOTO_ANU91,Embrace Hope,Acceptez l'espoir
KEY_HAVEN_MOTO_ANU92,Flesh Is A Tool,La chair est un outil
KEY_HAVEN_MOTO_ANU93,Dream Of The Stars,Rêve des étoiles
KEY_HAVEN_MOTO_ANU94,Survival Is Victory,La survie est une victoire
KEY_HAVEN_MOTO_ANU95,Faith And Purpose,Foi et raison
KEY_HAVEN_MOTO_ANU96,A Billion Years In A Single Moment,Des milliards d'années en un seul instant
KEY_HAVEN_MOTO_ANU97,A Ship Is Not The Ocean,Un navire n'est pas l'océan
KEY_HAVEN_MOTO_ANU98,The Sea Sings When Mermaids Dance,La mer chante lorsque les sirènes dansent
KEY_HAVEN_MOTO_ANU99,What Does Not Kill Us Makes Us Stronger,Ce qui ne nous tue pas nous rend plus forts
KEY_HAVEN_MOTO_NEUTRAL1,Hope Dies Last,L'espoir s'éteint en dernier
KEY_HAVEN_MOTO_NEUTRAL10,Faith Manages,La foi gère
KEY_HAVEN_MOTO_NEUTRAL100,Always Get Up Again,Toujours se relever
KEY_HAVEN_MOTO_NEUTRAL101,Famous Last Words,Derniers mots célèbres
KEY_HAVEN_MOTO_NEUTRAL102,For Only $4.99 A Month You Can Enter Our Haven,"Pour seulement 4,99 $ par mois, vous pouvez intégrer notre refuge"
KEY_HAVEN_MOTO_NEUTRAL11,Don't Tread on Us,Ne nous marchez pas dessus
KEY_HAVEN_MOTO_NEUTRAL12,"Peace, Commerce, Honest Friendship","Paix, commerce, amitié sincère"
KEY_HAVEN_MOTO_NEUTRAL13,The Hand Of Force Can Destroy But Not Disjoin,"La main de la force peut détruire, mais pas scinder"
KEY_HAVEN_MOTO_NEUTRAL14,Liberty Can Never Be Safe but in the Hands of the People,La liberté ne peut être garantie qu'aux mains des peuples
KEY_HAVEN_MOTO_NEUTRAL15,"Refuse Falsehood, Embrace Truth","Refusez le mensonge, acceptez la vérité"
KEY_HAVEN_MOTO_NEUTRAL16,Humanity Must Live,L'humanité doit vivre
KEY_HAVEN_MOTO_NEUTRAL17,Honesty and Virtue,Honnêteté et vertu
KEY_HAVEN_MOTO_NEUTRAL18,"Love What Was, Defend What Remains","Aimez ce qui fut, défendez ce qui reste"
KEY_HAVEN_MOTO_NEUTRAL19,We Are All Refugees,Nous sommes tous des réfugiés
KEY_HAVEN_MOTO_NEUTRAL2,Built With Our Hands,Construits de nos mains
KEY_HAVEN_MOTO_NEUTRAL20,Shelter for All,Un refuge pour tous
KEY_HAVEN_MOTO_NEUTRAL21,Perseverance,Persévérance
KEY_HAVEN_MOTO_NEUTRAL22,What Is Built Endures,Ce qui est construit endure
KEY_HAVEN_MOTO_NEUTRAL23,Reject Despair,Rejetez le désespoir
KEY_HAVEN_MOTO_NEUTRAL24,We're Not Dead,Nous ne sommes pas morts
KEY_HAVEN_MOTO_NEUTRAL25,90% Apocalypse-Proof,90 % de résistance à l'apocalypse
KEY_HAVEN_MOTO_NEUTRAL26,A Wall Against The Mist,Un mur contre la Brume
KEY_HAVEN_MOTO_NEUTRAL27,Live and Let Live,Vivre et laisser vivre
KEY_HAVEN_MOTO_NEUTRAL28,United in Hope,Unis dans l'espoir
KEY_HAVEN_MOTO_NEUTRAL29,Holding On,S'accrocher
KEY_HAVEN_MOTO_NEUTRAL3,Leave No One Behind,N'abandonnez personne
KEY_HAVEN_MOTO_NEUTRAL30,It's A Matter of Principle,C'est une question de principe
KEY_HAVEN_MOTO_NEUTRAL31,The Happy Haven,Le refuge heureux
KEY_HAVEN_MOTO_NEUTRAL32,We Will Fight To The End (If We Really Have To),Nous nous battrons jusqu'au bout (s'il le faut vraiment)
KEY_HAVEN_MOTO_NEUTRAL33,Fellowship and Hospitality,Convivialité et hospitalité
KEY_HAVEN_MOTO_NEUTRAL34,It's Not Much But We Have A Chess Club,"C'est peu, mais nous avons un club d'échecs"
KEY_HAVEN_MOTO_NEUTRAL35,We Were Strangers Until We Built A Home Together,Nous étions des inconnus avant de construire un foyer ensemble
KEY_HAVEN_MOTO_NEUTRAL36,Something to Hope For,Quelque chose à espérer
KEY_HAVEN_MOTO_NEUTRAL37,Better Than Nothing,Mieux que rien
KEY_HAVEN_MOTO_NEUTRAL38,Devoted to Liberty,Dévoués à la liberté
KEY_HAVEN_MOTO_NEUTRAL39,Faith and Goodwill,Foi et bonne volonté
KEY_HAVEN_MOTO_NEUTRAL4,A Place of Safety,Un endroit sûr
KEY_HAVEN_MOTO_NEUTRAL40,Without Fear,Sans peur
KEY_HAVEN_MOTO_NEUTRAL41,Enough With the Monsters Already,Ça suffit avec ces monstres
KEY_HAVEN_MOTO_NEUTRAL42,"Protected by Faith, Also Guns","Protégé par la foi, et les armes"
KEY_HAVEN_MOTO_NEUTRAL43,Honk if You Hate the Apocalypse,Klaxonnez si vous détestez l'apocalypse
KEY_HAVEN_MOTO_NEUTRAL44,Si Deus Nobiscum Quis Contra Nos,Si Deus Nobiscum Quis Contra Nos
KEY_HAVEN_MOTO_NEUTRAL45,Esse Quam Videri,Esse Quam Videri
KEY_HAVEN_MOTO_NEUTRAL46,Spiritus Intus Alit,Spiritus Intus Alit
KEY_HAVEN_MOTO_NEUTRAL47,Honor the People,Honorer le peuple
KEY_HAVEN_MOTO_NEUTRAL48,Life First,Priorité à la vie
KEY_HAVEN_MOTO_NEUTRAL49,Unity in Diversity,L'unité dans la diversité
KEY_HAVEN_MOTO_NEUTRAL5,No Survival Without Community,Pas de survie sans communauté
KEY_HAVEN_MOTO_NEUTRAL50,Stand Firm,Adoptez une position ferme
KEY_HAVEN_MOTO_NEUTRAL51,This Land is Our Land,Ces terres sont nos terres
KEY_HAVEN_MOTO_NEUTRAL52,Quam Bonum in Unum Habitare,Quam Bonum in Unum Habitare
KEY_HAVEN_MOTO_NEUTRAL53,The reward for toil is more toil.,"La récompense du labeur, c'est un labeur plus dur"
KEY_HAVEN_MOTO_NEUTRAL54,Second Chances,Deuxièmes chances
KEY_HAVEN_MOTO_NEUTRAL55,We Shall Prevail,Nous vaincrons
KEY_HAVEN_MOTO_NEUTRAL56,Let Them Come,Qu'ils viennent
KEY_HAVEN_MOTO_NEUTRAL57,Survive at all costs,Survivez à tout prix
KEY_HAVEN_MOTO_NEUTRAL58,My way or no way,À ma façon sinon rien
KEY_HAVEN_MOTO_NEUTRAL59,"Accept your lot, so we all may live","Accepter son sort, pour que tout le monde puisse vivre"
KEY_HAVEN_MOTO_NEUTRAL6,Best Vegan Food in the Postapocalypse,La meilleure cuisine végane post-apocalypse
KEY_HAVEN_MOTO_NEUTRAL60,Shelter Here To Ease Your Pain,Trouvez refuge ici pour soulager votre douleur
KEY_HAVEN_MOTO_NEUTRAL61,"Live Today, Forget Tomorrow","Vivre aujourd'hui, oublier demain"
KEY_HAVEN_MOTO_NEUTRAL62,Dreams are for the weak,Les rêves sont pour les faibles
KEY_HAVEN_MOTO_NEUTRAL63,Work Hard And Live,Travailler dur et vivre
KEY_HAVEN_MOTO_NEUTRAL64,Accept our laws or be part of the problem,Acceptez nos lois ou vous ferez partie du problème
KEY_HAVEN_MOTO_NEUTRAL65,Bow your head and be rewarded,Baissez la tête et soyez récompensé
KEY_HAVEN_MOTO_NEUTRAL66,We shall win this day,Nous vaincrons en ce jour
KEY_HAVEN_MOTO_NEUTRAL67,One wrong move is the end of us,Un faux mouvement et c'est la fin pour nous
KEY_HAVEN_MOTO_NEUTRAL68,Together First,Ensemble d'abord
KEY_HAVEN_MOTO_NEUTRAL69,"Think First, Talk Later",Réfléchir avant de parler
KEY_HAVEN_MOTO_NEUTRAL7,Don't Bother Us & We Won't Bother You,Ne nous dérangez pas et nous ferons de même
KEY_HAVEN_MOTO_NEUTRAL70,"If you dig the best ditches, we'll give you a bigger shovel.",C'est en creusant les meilleurs fossés qu'on obtient les plus grosses pelles.
KEY_HAVEN_MOTO_NEUTRAL71,"Whiskey for the Men, Beer for the Horses","Du whisky pour les hommes, de la bière pour les chevaux"
KEY_HAVEN_MOTO_NEUTRAL72,Mental Revenge,Vengeance mentale
KEY_HAVEN_MOTO_NEUTRAL73,The Flower That Blooms In Adversity Is The Most Rare And Beautiful,La fleur qui fleurit dans l'adversité est la plus rare et la plus belle
KEY_HAVEN_MOTO_NEUTRAL74,There's Always Hope,Il y a toujours de l'espoir
KEY_HAVEN_MOTO_NEUTRAL75,Resilience,Ténacité
KEY_HAVEN_MOTO_NEUTRAL76,Faith In Freedom,Foi en la liberté
KEY_HAVEN_MOTO_NEUTRAL77,Until The End,Jusqu'à la fin
KEY_HAVEN_MOTO_NEUTRAL78,Treat Everyone The Way You'd Like To Be Treated,Traitez autrui comme vous voudriez qu'on vous traire
KEY_HAVEN_MOTO_NEUTRAL79,In Memory Of The Great Flood of '31,En souvenir du Grand Déluge de 31
KEY_HAVEN_MOTO_NEUTRAL8,Small But Resilient,"Petit, mais tenace"
KEY_HAVEN_MOTO_NEUTRAL80,A Place For Humanity,Un endroit pour l'humanité
KEY_HAVEN_MOTO_NEUTRAL81,Founded By A Guy Called Frank,Fondé par un certain Frank
KEY_HAVEN_MOTO_NEUTRAL82,Could Be Better,Pourrait être mieux
KEY_HAVEN_MOTO_NEUTRAL83,Never Give Up,N'abandonnez jamais
KEY_HAVEN_MOTO_NEUTRAL84,We Remember,Nous nous souvenons
KEY_HAVEN_MOTO_NEUTRAL85,Staying Out Of Trouble,Évitez les ennuis
KEY_HAVEN_MOTO_NEUTRAL86,We Will Heal,Nous guérirons
KEY_HAVEN_MOTO_NEUTRAL87,Be Nice Or GTFO,Faites preuve de gentillesse ou dégagez
KEY_HAVEN_MOTO_NEUTRAL88,Strong In Spirit,Fort d'esprit
KEY_HAVEN_MOTO_NEUTRAL89,Clean Water In The Well,Eau pure dans le puits
KEY_HAVEN_MOTO_NEUTRAL9,We're Still Here,Nous sommes toujours ici
KEY_HAVEN_MOTO_NEUTRAL90,"Always Brave, Never Reckless","Courageux toujours, imprudents jamais"
KEY_HAVEN_MOTO_NEUTRAL91,Stalwart Principles,Principes indéfectibles
KEY_HAVEN_MOTO_NEUTRAL92,Life Is Tenacious,La vie est tenace
KEY_HAVEN_MOTO_NEUTRAL93,Fearlessly Cautious,Prudence sans crainte
KEY_HAVEN_MOTO_NEUTRAL94,Adaptable But Not Compliant,"Adaptables, mais pas dociles"
KEY_HAVEN_MOTO_NEUTRAL95,Endurance and Continuity,Endurance et continuité
KEY_HAVEN_MOTO_NEUTRAL96,Keep Trying,Continuez d'essayer
KEY_HAVEN_MOTO_NEUTRAL97,Live Another Day,Vivre un autre jour
KEY_HAVEN_MOTO_NEUTRAL98,Whatever Works,Tout ce qui fonctionne
KEY_HAVEN_MOTO_NEUTRAL99,Another Dawn Will Come,Un autre jour poindra
KEY_HAVEN_MOTO_NEW_JERICHO1,Honor and Duty,Honneur et devoir
KEY_HAVEN_MOTO_NEW_JERICHO10,Purity Is Paramount,La pureté est primordiale
KEY_HAVEN_MOTO_NEW_JERICHO100,Never Surrender,Ne jamais se rendre
KEY_HAVEN_MOTO_NEW_JERICHO101,Freedom From Infection,Absence d'infection
KEY_HAVEN_MOTO_NEW_JERICHO102,To Accomplish The Task,Accomplir la tâche
KEY_HAVEN_MOTO_NEW_JERICHO103,Incorruptible,Incorruptible
KEY_HAVEN_MOTO_NEW_JERICHO104,The Self Is the Heart Of Liberty,Le soi est le cœur de la liberté
KEY_HAVEN_MOTO_NEW_JERICHO105,Unafraid,Sans peur
KEY_HAVEN_MOTO_NEW_JERICHO106,Audacious Vision,Vision audacieuse
KEY_HAVEN_MOTO_NEW_JERICHO107,Eternal Valor,Valeur éternelle
KEY_HAVEN_MOTO_NEW_JERICHO108,Indomitable,Indomptable
KEY_HAVEN_MOTO_NEW_JERICHO11,The Forge of Freedom,La forge de la liberté
KEY_HAVEN_MOTO_NEW_JERICHO12,Merit Before Equality,Le mérite avant l'égalité
KEY_HAVEN_MOTO_NEW_JERICHO13,Aliens Will Be Shot,Les extraterrestres se feront tirer dessus
KEY_HAVEN_MOTO_NEW_JERICHO14,Liberty and Prosperity,Liberté et prospérité
KEY_HAVEN_MOTO_NEW_JERICHO15,We Will Defend Our Rights,Nous défendrons nos droits
KEY_HAVEN_MOTO_NEW_JERICHO16,Loyalty and Independence,Loyauté et indépendance
KEY_HAVEN_MOTO_NEW_JERICHO17,Kicking Ass And Taking Names,Capturer et identifier
KEY_HAVEN_MOTO_NEW_JERICHO18,Freedom to the Vigilant,Liberté pour le vigilant
KEY_HAVEN_MOTO_NEW_JERICHO19,The Price of Civilization is Loyalty,Le prix de la civilisation est la loyauté
KEY_HAVEN_MOTO_NEW_JERICHO2,The Price of Freedom is Eternal Vigilance,Le prix de la liberté est la vigilance éternelle
KEY_HAVEN_MOTO_NEW_JERICHO20,A Better Cause,Une meilleure cause
KEY_HAVEN_MOTO_NEW_JERICHO21,Man Was Made To Lead,L'homme est fait pour mener
KEY_HAVEN_MOTO_NEW_JERICHO22,United in Industry,Unis dans l'industrie
KEY_HAVEN_MOTO_NEW_JERICHO23,United by Hope,Unis par l'espoir
KEY_HAVEN_MOTO_NEW_JERICHO24,The Future is Ours,Le futur nous appartient
KEY_HAVEN_MOTO_NEW_JERICHO25,"Wisdom, Justice, Moderation","Sagesse, justice, modération"
KEY_HAVEN_MOTO_NEW_JERICHO26,Y'all Better Watch Out,Vous feriez mieux de rester sur vos gardes
KEY_HAVEN_MOTO_NEW_JERICHO27,Dum Spiro Spero,Dum Spiro Spero
KEY_HAVEN_MOTO_NEW_JERICHO28,The Truth Is A Gun In An Honest Man's Hand,La vérité est une arme dans la main d'un homme honnête
KEY_HAVEN_MOTO_NEW_JERICHO29,Pure Human,Humain pur
KEY_HAVEN_MOTO_NEW_JERICHO3,Audemus jura nostra defendere,Audemus jura nostra defendere
KEY_HAVEN_MOTO_NEW_JERICHO30,From the Ashes,De ses cendres
KEY_HAVEN_MOTO_NEW_JERICHO31,Alien Free Since '32,Absence d'extraterrestres depuis 32
KEY_HAVEN_MOTO_NEW_JERICHO32,Speak Softly And Carry A Big Stick,Parlez doucement et munissez-vous d'un gros bâton
KEY_HAVEN_MOTO_NEW_JERICHO33,No Free Man Shall Be Debarred the Use of Arms,Aucun homme libre ne se verra interdire l'usage d'armes
KEY_HAVEN_MOTO_NEW_JERICHO34,Ardua Veritatem,Ardua Veritatem
KEY_HAVEN_MOTO_NEW_JERICHO35,Postera Crescam Laude,Postera Crescam Laude
KEY_HAVEN_MOTO_NEW_JERICHO36,Scientia ac Labore,Scientia ac Labore
KEY_HAVEN_MOTO_NEW_JERICHO37,Ora et Labora,Ora et Labora
KEY_HAVEN_MOTO_NEW_JERICHO38,Grandescunt Aucta Labore,Grandescunt Aucta Labore
KEY_HAVEN_MOTO_NEW_JERICHO39,Veritas Omnia Vincit,Veritas Omnia Vincit
KEY_HAVEN_MOTO_NEW_JERICHO4,Ense petit placidam sub libertate quietem,Ense petit placidam sub libertate quietem
KEY_HAVEN_MOTO_NEW_JERICHO40,Audere Est Facere,Audere Est Facere
KEY_HAVEN_MOTO_NEW_JERICHO41,Audio Hostem,Audio Hostem
KEY_HAVEN_MOTO_NEW_JERICHO42,Aut Cum Scuto Aut In Scuto,Aut Cum Scuto Aut In Scuto
KEY_HAVEN_MOTO_NEW_JERICHO43,Suum Cuique Tribuere,Suum Cuique Tribuere
KEY_HAVEN_MOTO_NEW_JERICHO44,Born Free,Nés libres
KEY_HAVEN_MOTO_NEW_JERICHO45,Our Cause is the Cause of Mankind,Notre cause est la cause de l'humanité
KEY_HAVEN_MOTO_NEW_JERICHO46,Blood and Toil,Sang et labeur
KEY_HAVEN_MOTO_NEW_JERICHO47,An Armed Society Is A Polite Society,Une société armée est une société polie
KEY_HAVEN_MOTO_NEW_JERICHO48,No Such Thing As A Free Lunch,Rien n'est gratuit
KEY_HAVEN_MOTO_NEW_JERICHO49,Discipline Without Coercion,Discipline sans coercition
KEY_HAVEN_MOTO_NEW_JERICHO5,The Rights of the One Before the Rights of the Many,Les droits d'un individu surpassent ceux de la majorité
KEY_HAVEN_MOTO_NEW_JERICHO50,"Courteous to All, Intimate with Few","Courtois envers tout le monde, intime avec peu"
KEY_HAVEN_MOTO_NEW_JERICHO51,Pro Patria Mori,Pro Patria Mori
KEY_HAVEN_MOTO_NEW_JERICHO52,Mutant Free Zone,Zone sans mutants
KEY_HAVEN_MOTO_NEW_JERICHO53,Fortis fortuna adiuvat,Fortis fortuna adiuvat
KEY_HAVEN_MOTO_NEW_JERICHO54,We Come Prepared,Nous venons préparés
KEY_HAVEN_MOTO_NEW_JERICHO55,Blood Brothers,Frères de sang
KEY_HAVEN_MOTO_NEW_JERICHO56,Forged in Fire,Forgé dans le feu
KEY_HAVEN_MOTO_NEW_JERICHO57,"Work Hard, Dream Big",Travailler dur pour rêver en grand
KEY_HAVEN_MOTO_NEW_JERICHO58,Magnus ab integro saeclorum nascitur ordo,Magnus ab integro saeclorum nascitur ordo
KEY_HAVEN_MOTO_NEW_JERICHO59,Endeavor to Achieve,Essayer d'atteindre ses objectifs
KEY_HAVEN_MOTO_NEW_JERICHO6,Aliens Out,"Extraterrestres, dehors"
KEY_HAVEN_MOTO_NEW_JERICHO60,Nemo Me Impune Lacessit,Nemo Me Impune Lacessit
KEY_HAVEN_MOTO_NEW_JERICHO61,Equality Of Opportunity,Égalité des chances
KEY_HAVEN_MOTO_NEW_JERICHO62,This Is My Rifle,C'est mon fusil
KEY_HAVEN_MOTO_NEW_JERICHO63,Let's Get Down to Business,Passons aux choses sérieuses
KEY_HAVEN_MOTO_NEW_JERICHO64,Carpe Jugulum,Carpe Jugulum
KEY_HAVEN_MOTO_NEW_JERICHO65,We Happen to Other People,Les autres tombent sur nous
KEY_HAVEN_MOTO_NEW_JERICHO66,Free The Earth,Libérer la Terre
KEY_HAVEN_MOTO_NEW_JERICHO67,Giving Up Is For Rookies,"Abandonner, c'est pour les bleus"
KEY_HAVEN_MOTO_NEW_JERICHO68,Our Actions Shall Be Deemed Glorious,Nos actions seront jugées glorieuses
KEY_HAVEN_MOTO_NEW_JERICHO69,Take Back The Earth,Récupérer la Terre
