Key,English,French
ALN_ADVANCEDPRETORIAN_RESEARCHDEF_COMPLETE,"Species classification A-Delta-1
An evolved Tyrant with increased poison spitting capabilities. Reports also confirm that it is equipped with superior intelligence and has a reinforced chitin shield.","Classification de l'espèce A-Delta-1
Un Tyran évolué avec des capacités augmentées de projection de poison. Les rapports confirment qu'il est doté d'une intelligence supérieure et dispose d'un bouclier en chitine renforcé."
ALN_ADVANCEDPRETORIAN_RESEARCHDEF_NAME,ARTHRON TYRANT ALPHA,ARTHRON TYRAN ALPHA
ALN_CHIRON10_RESEARCHDEF_COMPLETE,"Species classification C-Gamma-B
An enhanced Chiron subspecies that is capable of burrowing, thus increasing it's artillery range and accuracy. Battlefield reports compare the specimen to a fortified tank.","Classification de l'espèce C-Gamma-B
Une sous-espèce évoluée de Chiron qui peut s'enterrer et ainsi augmenter sa portée d'artillerie et sa précision. Les rapports de bataille comparent ce spécimen à un char fortifié."
ALN_CHIRON10_RESEARCHDEF_NAME,CHIRON ASTERIA,CHIRON ASTÉRIA
ALN_CHIRON11_RESEARCHDEF_COMPLETE,"Species classification C-Gamma-E1
Considered the deadliest of Chirons, the subspecies has evolved to launch organic acid mortars throughout the battlefield. While weak in close quarter combat, the creature can deal minor damage to surrounding enemies using its large stomping legs.","Classification de l'espèce C-Gamma-E1
Considérée comme la plus redoutable des Chirons, cette sous-espèce a évolué pour projeter des mortiers caustiques organiques sur tout le champ de bataille. Lorsqu'elle est affaiblie en combat rapproché, cette créature peut infliger des dégâts mineurs aux ennemis alentour en utilisant ses grosses jambes pour piétiner."
ALN_CHIRON11_RESEARCHDEF_NAME,CHIRON BASILISK,CHIRON BASILIC
ALN_CHIRON12_RESEARCHDEF_COMPLETE,"Species classification C-Gamma-E2
Potentially the apex of Chirons, the subspecies is capable of launching acid mortars that deliver devastating destruction. This creature is also able to burrow and fortify its position for increased fire rate, distance, and accuracy.","Classification de l'espèce C-Gamma-E2
La pointe potentielle des Chirons, cette sous-espèce est capable de lancer des mortiers caustiques qui infligent des dégâts dévastateurs. Cette créature peut également s'enterrer et sécuriser sa position pour augmenter sa cadence de tir, sa distance et sa précision."
ALN_CHIRON12_RESEARCHDEF_NAME,CHIRON TYPHON,CHIRON TYPHON
ALN_CHIRON1_RESEARCHDEF_COMPLETE,"Species classification C-Alpha
A large bug-like Pandoran species that has evolved to act as a mobile artillery unit. The specimen has the ability to launch fireworms from long distances, but is defenseless at close range.","Classification de l'espèce C-Alpha
Une grande espèce pandorienne semblable à un insecte qui a évolué pour servir d'unité d'artillerie mobile. Ce spécimen a la capacité de lancer des Vers de feu à de longues distances, mais il est sans défense à courte portée."
ALN_CHIRON1_RESEARCHDEF_NAME,CHIRON AGNI,CHIRON AGNI
ALN_CHIRON2_RESEARCHDEF_COMPLETE,"Species classification C-Alpha-H
A variation of the Chiron that has grown chitin armor on its limbs for protection. The specimen's legs have mutated to allow close combat attacks, mostly for defense, in addition to its ability to launch fireworms at long distances.","Classification de l'espèce C-Alpha-H
Une variante du Chiron qui a développé une armure en chitine pour protéger ses membres. Les jambes du spécimen ont muté pour permettre des attaques rapprochées, principalement pour se défendre, en plus de sa capacité à lancer des Vers de feu sur de longues distances."
ALN_CHIRON2_RESEARCHDEF_NAME,CHIRON FUJI,CHIRON FUJI
ALN_CHIRON3_RESEARCHDEF_COMPLETE,"Species classification C-Alpha-P
A mutated subspecies of Chiron that has evolved to launch poison worms at enemies. Reports speculate that the specimen is a response to Synedrion military developments. ","Classification de l'espèce C-Alpha-P
Une sous-espèce mutante de Chiron qui a évolué pour lancer des Vers toxiques sur les ennemis. Les rapports supposent que ce spécimen est une réponse aux améliorations militaires du Synédrion."
ALN_CHIRON3_RESEARCHDEF_NAME,CHIRON APLU,CHIRON APLU
ALN_CHIRON4_RESEARCHDEF_COMPLETE,"Species classification C-Alpha-P2
A Chiron mutation that has developed chitin armored limbs capable of performing close range attacks. The specimen can additionally launch poison worms at targets from a large range.","Classification de l'espèce C-Alpha-P2
Une mutation de Chiron qui a développé des membres recouverts d'une armure de chitine pour effectuer des attaques à courte portée. Ce spécimen peut également lancer des Vers toxiques sur ses cibles à longue portée."
ALN_CHIRON4_RESEARCHDEF_NAME,CHIRON NERGAL,CHIRON NERGAL
ALN_CHIRON5_RESEARCHDEF_COMPLETE,"Species classification C-Alpha-A
A subspecies of Chiron, that seems to be a response to New Jericho's advanced armor units. Observations have shown that the specimen largely targets vehicles and armored vehicles using artillery acid worms.","Classification de l'espèce C-Alpha-A
Une sous-espèce de Chiron qui semble avoir été créée en réponse aux unités blindées avancées de la Nouvelle-Jéricho. Selon nos observations, ce spécimen cible principalement les véhicules et les véhicules blindés à l'aide de vers caustiques d'artillerie."
ALN_CHIRON5_RESEARCHDEF_NAME,CHIRON ROBIGUS,CHIRON ROBIGUS
ALN_CHIRON6_RESEARCHDEF_COMPLETE,"Species classification C-Alpha-A2
An evolved Chiron that launches acid worms in an artillery fashion, while also capable of dealing close quarter damage with its reinforced limbs. Taking out quickly from a distance is advised.","Classification de l'espèce C-Alpha-A2
Un Chiron évolué qui lance des vers caustiques comme des projectiles d'artillerie, tout en étant capable d'infliger des dégâts à courte portée avec ses membres renforcés. Il est conseillé de l'éliminer rapidement à distance."
ALN_CHIRON6_RESEARCHDEF_NAME,CHIRON PHTHISIS,CHIRON PHTISIE
ALN_CHIRON7_RESEARCHDEF_COMPLETE,"Species classification C-Beta
A Chiron variation that is able to launch capsules of organic goo preventing movement in large areas of terrain. The specimen is also able to disrupt soldiers in its vicinity by stomping on the ground with its massive legs.","Classification de l'espèce C-Bêta
Une variante du Chiron qui est capable de lancer des capsules de gelée organique pour empêcher les déplacements sur de larges zones du terrain. Ce spécimen peut également perturber les soldats à proximité en piétinant le sol avec ses énormes jambes."
ALN_CHIRON7_RESEARCHDEF_NAME,CHIRON NINGAL,CHIRON NINGAL
ALN_CHIRON8_RESEARCHDEF_COMPLETE,"Species classification C-Beta-H
An evolved Chiron subspecies capable of launching capsules of organic goo that limit terrain movement. The specimen's limbs have further mutated allowing it to perform close quarter combat when threatened.","Classification de l'espèce C-Bêta-H
Une sous-espèce de Chiron évoluée capable de lancer des capsules de gelée organique qui limitent les déplacements sur le terrain. Les membres de ce spécimen ont muté encore plus lui permettant de se battre en combat rapproché lorsqu'il se sent menacé."
ALN_CHIRON8_RESEARCHDEF_NAME,CHIRON PHASIS,CHIRON PHASIS
ALN_CHIRON9_RESEARCHDEF_COMPLETE,"Species classification C-Gamma
An artillery subspecies of Chiron evolved to launch projectiles of biological explosives large distances. The destructive power of the projectiles is comparable to rocket launcher missiles. The specimen also has basic defense capabilities, allowing it to disrupt nearby units by using its large stomping legs.","Classification de l'espèce C-Gamma
Une sous-espèce d'artillerie du Chiron qui a évolué pour lancer des projectiles explosifs biologiques à de longues distances. Le pouvoir destructeur de ces projectiles est comparable aux missiles de lance-roquettes. Ce spécimen a également des capacités élémentaires de défense, lui permettant de perturber les soldats à proximité en piétinant le sol avec ses énormes jambes."
ALN_CHIRON9_RESEARCHDEF_NAME,CHIRON PERSES,CHIRON PERSE
ALN_CITADEL_RESEARCHDEF_COMPLETE,"An Apex mutation is being developed in a huge, cavernous structure. This poses a serious threat to human life on earth.",La pointe de la mutation est en cours de création dans une énorme structure caverneuse. Ceci représente une grave menace pour la vie humaine sur terre.
ALN_CITADEL_RESEARCHDEF_NAME,PANDORAN CITADEL,CITADELLE PANDORIENNE
ALN_COMMANDO_RESEARCHDEF_COMPLETE,"Species classification A-Gamma
The first type of Arthron that has adapted to use grenades and firearms. The exact method of this process remains unclear, but somehow they managed to transform old human weapons and incorporate them into their bodies.","Classification de l'espèce A-Gamma
Le premier type d'Arthron qui s'est adapté à l'utilisation des grenades et des armes à feu. La méthode exacte de ce processus reste vague, mais ils parviennent parfois à transformer de vieilles armes humaines et à les incorporer dans leur corps."
ALN_COMMANDO_RESEARCHDEF_NAME,ARTHRON SCOURGE,ARTHRON FLÉAU
ALN_CRABMANADVANCEDCHARGER2_RESEARCHDEF_COMPLETE,"Species classification A-Alpha-2
A mutation of the Brute, this subspecies has evolved internal organs capable of delivering highly toxic poison in combat. While antidotes for the poison are developed, its speed and strength render the creature extremely dangerous.","Classification de l'espèce A-Alpha-2
Une mutation de la Brute, cette sous-espèce a développé des organes internes capables de projeter un poison très toxique en combat. Des antidotes sont en cours de développement, mais sa vitesse et sa force rendent cette créature extrêmement dangereuse."
ALN_CRABMANADVANCEDCHARGER2_RESEARCHDEF_NAME,ARTHRON BRUTE ALPHA,ATHRON BRUTE ALPHA
ALN_CRABMANADVANCEDCHARGER_RESEARCHDEF_COMPLETE,"Species classification A-Alpha-1
An enhanced variation of the Brute mutation with enhanced melee capabilities. Reports state that the creature has an evolved pincer limb capable of considerable damage. ","Classification de l'espèce A-Alpha-1
Une variante optimisée du mutant Brute avec des capacités augmentées en combat rapproché. Selon les rapports, cette créature est dotée d'une pince qui peut infliger des dégâts considérables."
ALN_CRABMANADVANCEDCHARGER_RESEARCHDEF_NAME,ARTHRON BRUTE ALPHA,ATHRON BRUTE ALPHA
ALN_CRABMANADVANCEDSHIELDER2_RESEARCHDEF_COMPLETE,"Species classification A-Beta-2
A mutation of the Shieldbearer subspecies evolved for close quarter combat. Reports have confirmed that the creature's limbs have been significantly enhanced, including the creature's pincer. The head remains a known weak spot.","Classification de l'espèce A-Bêta-2
Une mutation de sous-espèce de l'Arthron à bouclier élaboré pour le combat rapproché. Les rapports confirment que les membres de cette créature ont été considérablement optimisés, notamment sa pince. Sa tête reste un point faible connu."
ALN_CRABMANADVANCEDSHIELDER2_RESEARCHDEF_NAME,ARTHRON SHIELDBEARER ALPHA,ARTHRON À BOUCLIER ALPHA
ALN_CRABMANADVANCEDSHIELDER_RESEARCHDEF_COMPLETE,"Species classification A-Beta-1
An enhanced form of Shieldbearer with reinforced carapace and shield that could withstand heavy blast damage. No significant behavior changes have been noticed at this point. Use of superior firepower is recommended.","Classification de l'espèce A-Bêta-1
Une forme avancée du porteur de l'Arthron à bouclier avec une carapace renforcée et un bouclier pouvant résister à des dégâts explosifs sévères. Aucun changement de comportement n'a été constaté jusqu'à présent. Arme à feu supérieure recommandée."
ALN_CRABMANADVANCEDSHIELDER_RESEARCHDEF_NAME,ARTHRON SHIELDBEARER ALPHA,ARTHRON À BOUCLIER ALPHA
ALN_CRABMANBASIC_RESEARCHDEF_COMPLETE,"Species classification A-1
A human mutation with sea creature DNA we have named the Arthron. It uses its large claw to attack in close combat.","Classification de l'espèce A-1
Une mutation humaine intégrant l'ADN d'une créature marine que nous avons nommée Arthron. Ce mutant utilise sa grosse griffe pour attaquer en combat rapproché."
ALN_CRABMANBASIC_RESEARCHDEF_NAME,ARTHRON,ARTHRON
ALN_CRABMANCHARGER_RESEARCHDEF_COMPLETE,"Species classification A-Alpha
A new type of Arthron evolved for close combat. The most noticeable difference is the presence of an organic shield and the ability to spit poison at medium range. The specimen has shown to exhibit increased aggression.","Classification de l'espèce A-Alpha
Un nouveau type d'Arthron qui a évolué pour le combat rapproché. Les différences les plus évidentes sont le bouclier organique et sa capacité à cracher du poison à portée moyenne. Ce spécimen montre une agressivité accrue."
ALN_CRABMANCHARGER_RESEARCHDEF_NAME,ARTHRON BRUTE,ARTHRON BRUTE
ALN_CRABMANELITECHARGER2_RESEARCHDEF_COMPLETE,"Species classification A-Alpha-E2
An evolution of the Brute further suited for close combat. Reports indicate that the creature's chitin has mutated to the point of combat armor allowing it to survive a direct hit in the head. Its legs and torso are believed to present its major weaknesses.","Classification de l'espèce A-Alpha-E2
Une évolution de la Brute mieux adaptée au combat rapproché. Les rapports indiquent que la chitine de cette créature a muté au point de devenir une armure de combat lui permettant de survivre un coup direct dans la tête. Ses jambes et son buste présenteraient apparemment ses plus grandes faiblesses."
ALN_CRABMANELITECHARGER2_RESEARCHDEF_NAME,ARTHRON BRUTE CHAMPION,ATHRON BRUTE CHAMPION
ALN_CRABMANELITECHARGER3_RESEARCHDEF_COMPLETE,"Species classification A-Alpha-E3
A nearly fully armored Brute. While its combat capabilities remain similar to other types of Brute, its legs and torso are considerably strengthened, rendering it almost immune to standard weapons.","Classification de l'espèce A-Alpha-E3
Une Brute en armure presque complète. Ses capacités de combat restent similaires aux autres types de Brute, mais ses jambes et son buste sont considérablement renforcés, ce qui le rend presque immunisé aux armes normales."
ALN_CRABMANELITECHARGER3_RESEARCHDEF_NAME,ARTHRON BRUTE CHAMPION,ATHRON BRUTE CHAMPION
ALN_CRABMANELITECHARGER_RESEARCHDEF_COMPLETE,"Species classification A-Alpha-E1
An enhanced form of the Brute equipped with a strengthened shield and pincer. The observed specimens exhibit increased intelligence and are capable of cunning and tactical thought on the battlefield. To be approached with extreme caution.","Classification de l'espèce A-Alpha-E1
Une forme améliorée de la Brute équipée d'un bouclier et d'une pince renforcés. Les spécimens observés font preuve d'une intelligence supérieure et sont capables de ruses et de pensées tactiques sur le champ de bataille. À approcher avec grande prudence."
ALN_CRABMANELITECHARGER_RESEARCHDEF_NAME,ARTHRON BRUTE CHAMPION,ATHRON BRUTE CHAMPION
ALN_CRABMANELITESHIELDER2_RESEARCHDEF_COMPLETE,"Species classification A-Beta-E2
The creature is a highly evolved Shieldbearer equipped with enhanced pincer and shields arms. Unlike other creatures, it is speculated that its method of combat is to attract attention to itself giving the opportunity of other creatures to flank its attackers.","Classification de l'espèce A-Bêta-E2
La créature est un Arthron à bouclier très évolué et équipé de bras à pince et boucliers optimisés. Contrairement aux autres créatures, on suppose que sa méthode de combat consiste à attirer l'attention sur lui pour donner aux autres créatures la possibilité de flanquer ses adversaires."
ALN_CRABMANELITESHIELDER2_RESEARCHDEF_NAME,ARTHRON SHIELDBEARER CHAMPION,ARTHRON À BOUCLIER CHAMPION
ALN_CRABMANELITESHIELDER3_RESEARCHDEF_COMPLETE,"Species classification A-Beta-E2
A subspecies of Shieldbearer evolved specifically to counter machine gun and shotgun damage. Reports indicate that a few of these have been enough to dispatch entire squads of soldiers equipped with standard and substandard weapons. If encountered retreat is strongly recommended. ","Classification de l'espèce A-Bêta-E2
Une sous-espèce de l'Arthron à bouclier qui a évolué essentiellement pour contrer les attaques à la mitrailleuse et au fusil à pompe. Les rapports indiquent qu'une poignée de ces créatures suffit pour neutraliser des escouades entières de soldats équipés d'armes standard et inférieures. En cas de rencontre, le repli est vivement recommandé."
ALN_CRABMANELITESHIELDER3_RESEARCHDEF_NAME,ARTHRON SHIELDBEARER CHAMPION,ARTHRON À BOUCLIER CHAMPION
ALN_CRABMANELITESHIELDER_RESEARCHDEF_COMPLETE,"Species classification A-Beta-E1
Described as an elite version of the Shieldbearer, the subspecies is nearly entirely armored and capable of tactical thought. Observation has confirmed that specimens have on occasion taken action to protect weaker Pandorans allowing others to advance and attack.","Classification de l'espèce A-Bêta-E1
Décrit comme une version d'élite de l'Arthron à bouclier, cette sous-espèce est presque complètement protégée par une armure et capable de réflexion tactique. L'observation confirme que ces spécimens ont occasionnellement pris des mesures pour protéger des Pandoriens plus faibles permettant aux autres d'avancer et d'attaquer."
ALN_CRABMANELITESHIELDER_RESEARCHDEF_NAME,ARTHRON SHIELDBEARER CHAMPION,ARTHRON À BOUCLIER CHAMPION
ALN_CRABMANGUNNER_RESEARCHDEF_COMPLETE,"Species classification A-Gamma
The first type of Arthron that has adapted to the use of firearms. The exact method of this process remains unclear, but somehow they managed to transform old human weapons and incorporate them into their bodies.","Classification de l'espèce A-Gamma
Le premier type d'Arthron qui s'est adapté à l'utilisation des armes à feu. La méthode exacte de ce processus reste vague, mais ils parviennent parfois à transformer de vieilles armes humaines et à les incorporer dans leur corps."
ALN_CRABMANGUNNER_RESEARCHDEF_NAME,ARTHRON GUNNER,ARTHRON ARTILLEUR
ALN_CRABMANSHIELDER_RESEARCHDEF_COMPLETE,"Species classification A-Beta
A new specimen of Arthron, mutated to have a large carapace and organic shield additionally protecting it from physical damage. Behavior analysis suggests this might be the Pandorans' attempt to create an equivalent of the Heavy Soldier class.","Classification de l'espèce A-Bêta
Un nouveau spécimen d'Arthron, muté pour posséder une grosse carapace et un bouclier organique pour le protéger des dégâts physiques. L'analyse de son comportement suggère que c'est peut-être une tentative pandorienne visant à créer l'équivalent de la classe de soldat mastodonte."
ALN_CRABMANSHIELDER_RESEARCHDEF_NAME,ARTHRON SHIELDBEARER,ARHTRON À BOUCLIER
ALN_CRABMANULTRACHARGER_RESEARCHDEF_COMPLETE,"Species classification A-Alpha-CAS
The specimen is believed to be the peak of Brute evolution. Lacking any known weak spots, the specimen is capable of complex thinking and command capability when on the battlefield. When encountered, it is recommended that it be taken out first.","Classification de l'espèce A-Alpha-CAS
Ce spécimen est considéré comme le summum de l'évolution de la Brute. Sans aucun point faible connu, ce mutant est capable de réflexion complexe et de commandement sur le champ de bataille. Si rencontré, il est recommandé de l'éliminer en premier."
ALN_CRABMANULTRACHARGER_RESEARCHDEF_NAME,ARTHRON BRUTE PRIME,ATHRON BRUTE ACCOMPLI
ALN_CRABMANULTRASHIELDER_RESEARCHDEF_COMPLETE,"Species classification A-Beta-CAS
A commander type specimen, this creature is the apex of Shieldbearer evolution. Shielded by thick chitin with no known weak spots, it takes the role of a leader, directing other units on the battlefield. It is estimated that eliminating this Arthron, would decrease overall enemy performance by seventeen percent.","Classification de l'espèce A-Bêta-CAS
Un spécimen de type commandant, cette créature représente la pointe de l'évolution de l'Arthron à bouclier. Protégé par une chitine épaisse sans aucun point faible, il prend le rôle de leader, dirigeant les autres unités sur le champ de bataille. On estime qu'éliminer cet Arthron réduirait la performance globale de l'ennemi de dix-sept pour cent."
ALN_CRABMANULTRASHIELDER_RESEARCHDEF_NAME,ARTHRON SHIELDBEARER PRIME,ARTHRON À BOUCLIER ACCOMPLI
ALN_ELITEACIDRANGER2_RESEARCHDEF_COMPLETE,"Species classification A-Zeta-E2
A variation of Arthron evolved as a response to heavy armored soldiers. Considerably armored and equipped with acid grenades, it has been observed to attack fully armored enemies and occasionally vehicles.","Classification de l'espèce A-Zeta-E2
Une variante de l'Arthron évolué en réponse aux soldats armés. Considérablement blindé et équipé de grenades caustiques, on l'a observé en train d'attaquer des ennemis en armure complète et parfois des véhicules."
ALN_ELITEACIDRANGER2_RESEARCHDEF_NAME,ARTHRON DRAGON CHAMPION,ARTHRON DRAGON CHAMPION
ALN_ELITEACIDRANGER3_RESEARCHDEF_COMPLETE,"Species classification A-Zeta-E2
A specialized combat Arthron whose body is covered with an additional layer of chitin armor. The specimen is capable of strong pincer attacks and can throw acid grenades from its mutated appendage.","Classification de l'espèce A-Zeta-E2
Un Arthron spécialisé dans le combat recouvert d'une couche supplémentaire d'armure de chitine. Le spécimen est capable d'initier de violentes attaques avec sa pince et peut lancer des grenades caustiques de son membre mutant."
ALN_ELITEACIDRANGER3_RESEARCHDEF_NAME,ARTHRON DRAGON CHAMPION,ARTHRON DRAGON CHAMPION
ALN_ELITEACIDRANGER_RESEARCHDEF_COMPLETE,"Species classification A-Zeta-E1
An Arthron subspecies that has enhanced its grenade throwing capabilities to use acid grenades. Highly intelligent, the specimen has developed a melee-grenade style of fighting. Its legs are perhaps its greatest weak spot.","Classification de l'espèce A-Zeta-E1
Une sous-espèce d'Arthron aux capacités améliorées de lancement de grenades qui lui permettent d'utiliser des grenades caustiques. D'une grande intelligence, ce spécimen a développé un style de combat mélangeant mêlée et grenades. Ses jambes pourraient être son plus grand point faible."
ALN_ELITEACIDRANGER_RESEARCHDEF_NAME,ARTHRON DRAGON CHAMPION,ARTHRON DRAGON CHAMPION
ALN_ELITECOMMANDO2_RESEARCHDEF_COMPLETE,"Species classification A-Gamma-E2
A subspecies of Scourge with hardened head and torso chitin serving as thick armor. Equipped with an enhanced machine gun melded to its arm, the creature shares a lot of behavior similarities with standard Assault soldiers, suggesting that the Pandorans are learning our tactics.","Classification de l'espèce A-Gamma-E2
Une sous-espèce du Fléau avec une tête endurcie et une chitine sur le torse qui lui sert d'armure épaisse. Équipée d'une mitrailleuse optimisée intégrée à son bras, cette créature est très similaire aux soldats d'assaut standard, suggérant que les Pandoriens apprennent nos tactiques."
ALN_ELITECOMMANDO2_RESEARCHDEF_NAME,ARTHRON SCOURGE CHAMPION,ARTHRON FLÉAU CHAMPION
ALN_ELITECOMMANDO3_RESEARCHDEF_COMPLETE,"Species classification A-Gamma-E2
Similar to the standard Scourge, this subspecies has evolved to be almost entirely covered with defensive chitin. Reports have confirmed that its grenade arm has also evolved and is capable of throwing more potent grenades at a greater distance.","Classification de l'espèce A-Gamma-E2
Semblable au Fléau standard, cette sous-espèce a évolué pour être presque entièrement couverte de chitine protectrice. Les rapports confirment que son bras-grenade a également évolué et peut désormais lancer des grenades plus puissantes à une plus grande distance."
ALN_ELITECOMMANDO3_RESEARCHDEF_NAME,ARTHRON SCOURGE CHAMPION,ARTHRON FLÉAU CHAMPION
ALN_ELITECOMMANDO_RESEARCHDEF_COMPLETE,"Species classification A-Gamma-E1
An evolved Scourge with superior firepower capabilities. Observations confirm that the creature is highly intelligent and aggressive, but still has limited perception capabilities. It is recommended to take it out from a distance.","Classification de l'espèce A-Gamma-E1
Un Fléau supérieur avec des capacités de tir améliorées. Nos observations confirment que cette créature est très intelligente et agressive, mais qu'elle a toujours une perception limitée. Il est recommandé de l'éliminer à distance."
ALN_ELITECOMMANDO_RESEARCHDEF_NAME,ARTHRON SCOURGE CHAMPION,ARTHRON FLÉAU CHAMPION
ALN_ELITEPRETORIAN2_RESEARCHDEF_COMPLETE,"Species classification A-Delta-E2
An advanced Tyrant subspecies with a carapace and body covered in chitin armor. The specimen has learned to mimic the tactics of the opponents it faces.","Classification de l'espèce A-Delta-E2
Une sous-espèce de Tyran avancée avec une carapace et recouverte d'une armure en chitine. Ce spécimen a appris à imiter les tactiques des adversaires qu'il affronte."
ALN_ELITEPRETORIAN2_RESEARCHDEF_NAME,ARTHRON TYRANT CHAMPION,ARTHRON TYRAN CHAMPION
ALN_ELITEPRETORIAN3_RESEARCHDEF_COMPLETE,"Species classification A-Delta-E2
A superior mutation strain of Tyrant that has evolved to produce an even more toxic type of poison. The specimen's legs and torso are covered with an additional layer of chitin armor allowing it to rush its enemies even when under heavy fire.","Classification de l'espèce A-Delta-E2
Une souche de mutation supérieure du Tyran qui a évolué pour produire un type de poison encore plus toxique. Les jambes et le torse de cette créature sont couverts d'une couche supplémentaire d'armure en chitine lui permettant de foncer sur ses ennemis même en étant la cible d'une violente attaque."
ALN_ELITEPRETORIAN3_RESEARCHDEF_NAME,ARTHRON TYRANT CHAMPION,ARTHRON TYRAN CHAMPION
ALN_ELITEPRETORIAN_RESEARCHDEF_COMPLETE,"Species classification A-Delta-E1
An evolved Tyrant with enhanced defensive and offensive capabilities. Reports have shown that several of these specimens are capable of clearing scavenger strongholds without issue.  To be avoided unless engaged with overwhelming force.","Classification de l'espèce A-Delta-E1
Un Tyran évolué avec des capacités défensives et offensives optimisées. Les rapports indiquent que plusieurs de ces spécimens peuvent neutraliser les forteresses de récupérateurs sans problème. À éviter à moins d'avoir une force importante."
ALN_ELITEPRETORIAN_RESEARCHDEF_NAME,ARTHRON TYRANT CHAMPION,ARTHRON TYRAN CHAMPION
ALN_ELITERANGER2_RESEARCHDEF_COMPLETE,"Species classification A-Epsilon-E2
An Arthron mutation that has evolved to spit extremely potent poison at enemies. Its enhanced pincer and ability to throw grenades make it extremely dangerous in mid and close-range combat. It is recommended to take it out from a distance.","Classification de l'espèce A-Epsilon-E2
Une mutation d'Arthron qui a évolué pour projeter du poison extrêmement toxique sur ses ennemis. Sa pince optimisée et sa capacité à lancer des grenades font de ce spécimen un ennemi redoutable en combat rapproché et à moyenne distance. Il est recommandé de l'éliminer à distance."
ALN_ELITERANGER2_RESEARCHDEF_NAME,ARTHRON MYRMIDON CHAMPION,ARTHRON MYRMIDON CHAMPION
ALN_ELITERANGER3_RESEARCHDEF_COMPLETE,"Species classification A-Epsilon-E2
An Arthron subspecies that is believed to have evolved as an attempt to respond to Assault class units. While incapable of using firearms, the specimen can spit poison and throw grenades located in its left arm. ","Classification de l'espèce A-Epsilon-E2
Une sous-espèce d'Arthron qui aurait évolué pour tenter de répondre aux unités d'assaut. Même s'il ne peut pas utiliser d'armes à feu, ce spécimen peut cracher du poison et lancer des grenades placées sur son bras gauche."
ALN_ELITERANGER3_RESEARCHDEF_NAME,ARTHRON MYRMIDON CHAMPION,ARTHRON MYRMIDON CHAMPION
